,link,title,pubDate,description,filename
0,https://www.marketplace.org/shows/marketplace/50-years-after-the-oil-embargo-the-u-s-is-playing-catch-up,"50 years after the oil embargo, the U.S. is playing catch-up","Thu, 21 Sep 2023 23:12:02 +0000","<p>The idea of energy &#8220;conservation&#8221; was new to Americans in 1973. Experiencing a first-of-its-kind gasoline shortage, the U.S. began to encourage fuel efficiency in cars and homes. If President Ronald Reagan hadn&#8217;t reversed such commitments, would renewable energy be ubiquitous today? Plus, doing without: manufacturing without temp workers, the Fed without government economic data and NYC without Airbnb.</p>",50-years-after-the-oil-embargo-the-u-s-is-playing-catch-up
1,https://www.marketplace.org/shows/marketplace/do-you-advertise-en-espanol,Do you advertise en Español?,"Wed, 20 Sep 2023 23:23:11 +0000","<p>About three-quarters of Latinos in the U.S. speak at least some Spanish. Marketing experts have caught on. We&#8217;ll talk to a few about how they strike an English-Spanish balance in ads geared toward the growing demographic. Plus, Amazon is already aggressively hiring for the holidays, Japan might prop up the yen again, and the Federal Reserve didn&#8217;t raise rates — this time.</p>",do-you-advertise-en-espanol
2,https://www.marketplace.org/shows/marketplace/the-facial-recognition-software-cops-are-raving-about,The facial recognition software cops are raving about,"Tue, 19 Sep 2023 22:34:22 +0000","<p>Clearview AI, widely used by U.S. law enforcement, can find a face anywhere on the internet thanks to a database of billions of scraped photos. Journalist Kashmir Hill, who recently published a book about Clearview, will tell us what it was like to investigate a company that&#8217;s always watching. Plus, the viability of a four-day workweek for blue-collar jobs and an electrical transformer shortage.</p>",the-facial-recognition-software-cops-are-raving-about
3,https://www.marketplace.org/shows/marketplace/would-you-take-a-job-that-might-make-you-work-for-free,Would you take a job that might make you work for free?,"Mon, 18 Sep 2023 23:02:15 +0000","<p>With government shutdowns becoming more frequent — we could have another one at the end of the month — taking a government job isn&#8217;t all that appealing. Why worry about the uncertainty of a furlough when plenty of other companies are hiring? We&#8217;ll also tackle the environmental impacts of barge shipping, hard-to-find auto parts in the U.S. and members-only shopping in China.</p>",would-you-take-a-job-that-might-make-you-work-for-free
4,https://www.marketplace.org/shows/marketplace/is-it-time-to-question-the-economic-vibe,Is it time to question the economic vibe?,"Fri, 15 Sep 2023 23:57:14 +0000","<p>Consumer spending is key to this economy, but Americans are running through their cash just as student loan repayments are coming due. Could that be the straw that breaks the consumer&#8217;s back? We&#8217;ll discuss it on the Weekly Wrap. Plus, how car dealers are reacting to the UAW strike, why immigration is important to the AI race and why gross domestic product and gross domestic income often don&#8217;t match up, even though they should.</p>",is-it-time-to-question-the-economic-vibe
5,https://www.marketplace.org/shows/marketplace/how-to-price-an-ipo-so-it-pops,How to price an IPO so it “pops”,"Fri, 15 Sep 2023 00:04:32 +0000","<p>Shares of chip designer Arm Holdings surged 25% above their initial public offering price of $51 in the company&#8217;s stock market debut today. A lot went into deciding on that price. Today, we dig into what it takes to make an IPO &#8220;pop.&#8221; Later, the United Auto Workers plans to target its work stoppages as a strike looms. And will Social Security&#8217;s cost-of-living increase be enough to help older Americans keep up with inflation next year?</p>",how-to-price-an-ipo-so-it-pops
6,https://www.marketplace.org/shows/marketplace/what-will-inflation-look-like-in-6-months,What will inflation look like in 6 months?,"Wed, 13 Sep 2023 22:33:16 +0000","<p>Though inflation ticked up a bit in August, it looks like price increases are losing steam. Today, we ask what inflation could look like next year and what wild cards might be in play. We also investigate where all the G-rated movies went and why fish tacos are still about a buck at a San Diego restaurant chain.</p>",what-will-inflation-look-like-in-6-months
7,https://www.marketplace.org/shows/marketplace/poverty-rose-last-year-inflations-only-part-of-the-story,Poverty rose last year. Inflation’s only part of the story.,"Tue, 12 Sep 2023 22:39:22 +0000","<p>New data released by the U.S. Census Bureau shows that median income fell last year while poverty spiked, as pandemic-era government benefits ended. Today, we do the numbers and discuss who&#8217;s been most affected. We also explore the impact of tech regulation in the European Union and look at why businesses are so glum. Plus: You&#8217;ve probably infringed several patents today.</p>",poverty-rose-last-year-inflations-only-part-of-the-story
8,https://www.marketplace.org/shows/marketplace/when-a-10-day-strike-could-cost-5-billion,When a 10-day strike could cost $5 billion,"Mon, 11 Sep 2023 22:39:07 +0000","<p>Members of the United Auto Workers union could go on strike this week if contracts aren&#8217;t signed with Ford, GM and Stellantis. If no deal is struck, the Upper Midwest in particular could suffer major losses. Today, we&#8217;ll chart the potential impacts. We&#8217;ll also look at consumer expectations, fear of automation and the panic over retail theft.</p>",when-a-10-day-strike-could-cost-5-billion
9,https://www.marketplace.org/shows/marketplace/what-rising-corporate-bankruptcies-tell-us-about-the-economy,What rising corporate bankruptcies tell us about the economy,"Fri, 08 Sep 2023 23:12:50 +0000","<p>Corporate bankruptcies have been on the rise for more than a year now, and the trend can have wide-ranging ripple effects. We dig into it. We also unpack the cooling labor market in the Weekly Wrap and look at the future of sustainable energy from the American home of oil and gas.</p>",what-rising-corporate-bankruptcies-tell-us-about-the-economy
